video_path,normalized_exercise,normalized_issue_label,dataset_source,participant_id,view_type,is_augmented,source_type,compatibility_status,notes
data/raw/custom_videos/squat_correct/squat_correct_001.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_002.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_003.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_004.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_005.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_006.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_007.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_008.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_009.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_010.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_011.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_012.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_correct/squat_correct_013.mp4,bodyweight_squat,squat_correct,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_knee_valgus/squat_knee_valgus_001.mp4,bodyweight_squat,squat_knee_valgus,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_knee_valgus/squat_knee_valgus_002.mp4,bodyweight_squat,squat_knee_valgus,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_knee_valgus/squat_knee_valgus_003.mp4,bodyweight_squat,squat_knee_valgus,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_knee_valgus/squat_knee_valgus_004.mp4,bodyweight_squat,squat_knee_valgus,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_shallow_depth/squat_shallow_depth_001.mp4,bodyweight_squat,squat_shallow_depth,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_shallow_depth/squat_shallow_depth_002.mp4,bodyweight_squat,squat_shallow_depth,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_trunk_lean/squat_trunk_lean_001.mp4,bodyweight_squat,squat_trunk_lean,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_trunk_lean/squat_trunk_lean_002.mp4,bodyweight_squat,squat_trunk_lean,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_trunk_lean/squat_trunk_lean_003.mp4,bodyweight_squat,squat_trunk_lean,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
data/raw/custom_videos/squat_trunk_lean/squat_trunk_lean_004.mp4,bodyweight_squat,squat_trunk_lean,custom_videos,,,False,real,candidate_only,Existing compatible custom squat video; human metadata may remain incomplete.
