video_path,label,split,source_dataset,source_type,original_label,augmented_label,manual_expected_reps,manual_rep_count_validated,left_knee_angle_mean,left_knee_angle_std,left_knee_angle_min,left_knee_angle_max,left_knee_angle_range,left_knee_angle_median,left_knee_angle_q1,left_knee_angle_q3,right_knee_angle_mean,right_knee_angle_std,right_knee_angle_min,right_knee_angle_max,right_knee_angle_range,right_knee_angle_median,right_knee_angle_q1,right_knee_angle_q3,left_hip_angle_mean,left_hip_angle_std,left_hip_angle_min,left_hip_angle_max,left_hip_angle_range,left_hip_angle_median,left_hip_angle_q1,left_hip_angle_q3,right_hip_angle_mean,right_hip_angle_std,right_hip_angle_min,right_hip_angle_max,right_hip_angle_range,right_hip_angle_median,right_hip_angle_q1,right_hip_angle_q3,trunk_angle_mean,trunk_angle_std,trunk_angle_min,trunk_angle_max,trunk_angle_range,trunk_angle_median,trunk_angle_q1,trunk_angle_q3,knee_angle_asymmetry,hip_angle_asymmetry,min_knee_angle,max_trunk_angle,estimated_depth_proxy
data/raw/custom_videos/squat_correct/squat_correct_001.mp4,squat_correct,validation,custom_squat_videos,real,squat_correct,,,False,98.11696428571427,48.30953621179492,51.0,178.53,127.53,70.69999999999999,57.2725,149.9175,102.53374999999998,45.303111414058996,59.27,179.88,120.60999999999999,81.945,63.6575,153.8975,74.7982142857143,57.012053929320906,25.09,178.4,153.31,44.989999999999995,26.9275,126.92,73.12205357142857,52.96926368083653,24.64,174.61,149.97000000000003,46.035,27.335,128.9225,49.019642857142856,24.94441864026942,0.09,68.74,68.64999999999999,64.09,30.145,67.765,5.178928571428572,5.556517857142857,51.0,68.74,129.0
data/raw/custom_videos/squat_correct/squat_correct_002.mp4,squat_correct,validation,custom_squat_videos,real,squat_correct,,,False,88.13194029850744,26.9355372118686,60.84,178.09,117.25,72.94,71.44999999999999,98.605,87.67134328358209,23.95985815219283,3.1,173.19,170.09,77.83,75.28999999999999,97.185,102.37701492537312,23.87220234541993,4.58,162.86,158.28,92.14,90.38499999999999,116.09,80.80447761194029,20.08289591441434,40.21,158.23,118.01999999999998,70.87,69.98,88.365,22.048059701492534,5.417722504038398,0.15,31.53,31.380000000000003,24.61,20.015,25.244999999999997,9.710447761194033,23.370746268656713,3.1,31.53,176.9
data/raw/custom_videos/squat_correct/squat_correct_003.mp4,squat_correct,train_like_reference,custom_squat_videos,real,squat_correct,,,False,95.69095238095237,35.37681265149087,49.9,162.09,112.19,91.6,61.01,131.49,98.01714285714284,17.142747888540743,80.74,145.45,64.71,95.88,81.96,106.55,111.30133333333333,24.653027286982393,86.11,164.05,77.94000000000001,102.05,88.43,134.96,91.30304761904762,19.07562064764789,70.96,134.01,63.05,85.38,73.2,109.22,23.954952380952385,6.086517829058477,11.28,42.42,31.14,25.32,20.44,25.96,20.16847619047619,19.998285714285714,49.9,42.42,130.1
data/raw/custom_videos/squat_correct/squat_correct_004.mp4,squat_correct,train_like_reference,custom_squat_videos,real,squat_correct,,,False,91.27931249999999,56.666156677970875,27.68,170.75,143.07,82.57,31.2025,150.055,97.2166875,51.73761710208873,37.39,168.77,131.38,89.205,40.985,149.0025,98.9593125,50.47479429281851,41.02,179.13,138.10999999999999,90.08,45.287499999999994,151.01,92.625,47.511133537308915,38.91,163.28,124.37,80.42,42.572500000000005,148.36,26.578062499999998,19.871655457487524,0.39,48.28,47.89,36.065,2.505,46.32,7.41225,7.4248125,27.68,48.28,152.32
data/raw/custom_videos/squat_correct/squat_correct_005.mp4,squat_correct,train_like_reference,custom_squat_videos,real,squat_correct,,,False,149.05605042016805,35.791529823268164,56.56,179.83,123.27000000000001,163.44,133.585,175.32,123.45630252100838,40.48299993586988,62.92,179.47,116.55,118.92,85.06,166.02499999999998,132.83504201680674,30.512564015719175,46.4,156.6,110.19999999999999,147.81,124.89500000000001,151.32999999999998,112.3309243697479,34.07699342163485,56.67,176.27,119.60000000000001,110.33,79.185,147.94,12.09890756302521,13.09885021510827,0.04,51.09,51.050000000000004,10.04,3.2300000000000004,14.530000000000001,27.291008403361346,26.491008403361352,56.56,51.09,123.44
data/raw/custom_videos/squat_correct/squat_correct_006.mp4,squat_correct,train_like_reference,custom_squat_videos,real,squat_correct,,,False,78.90743362831857,16.087369023128137,66.32,158.97,92.65,74.47,72.18,76.0,78.22946902654866,14.78082043783133,68.49,138.03,69.54,72.65,71.52,73.97,40.1137168141593,19.104490793689777,29.09,148.22,119.13,34.56,31.59,36.62,40.230088495575224,16.537490927793698,30.64,126.58,95.94,35.13,33.51,35.91,66.80300884955751,7.288052276916798,21.82,70.74,48.919999999999995,68.86,67.14,69.96,2.710530973451327,1.6115929203539823,66.32,70.74,113.68
data/raw/custom_videos/squat_correct/squat_correct_007.mp4,squat_correct,train_like_reference,custom_squat_videos,real,squat_correct,,,False,172.3675806451613,8.877514852320651,111.98,179.96,67.98,173.3,170.7175,176.6875,114.8282258064516,35.0488560636202,78.75,179.64,100.88999999999999,100.77,84.05499999999999,142.58499999999998,158.39016129032262,13.423361375570083,88.23,170.72,82.49,161.70499999999998,155.14749999999998,166.3725,104.81564516129033,29.844116112212983,71.56,179.91,108.35,94.66,78.4525,129.11,13.866129032258064,9.226970871701159,0.32,55.45,55.13,14.415,7.04,18.825,58.755806451612905,57.5158064516129,78.75,55.45,101.25
data/raw/custom_videos/squat_correct/squat_correct_008.mp4,squat_correct,train_like_reference,custom_squat_videos,real,squat_correct,,,False,109.99571830985916,47.75156139300522,54.42,179.96,125.54,102.59,58.505,160.585,94.54295774647888,47.318303554245645,42.58,179.88,137.3,67.01,58.945,139.08499999999998,105.94059154929579,50.19562412822357,43.34,179.87,136.53,101.66,50.230000000000004,162.82,88.24492957746479,45.06055265795251,41.33,179.62,138.29000000000002,68.68,48.519999999999996,130.635,34.040140845070425,18.392784124962883,0.2,56.73,56.529999999999994,38.08,16.310000000000002,53.805,18.626450704225356,18.416281690140845,42.58,56.73,137.42000000000002
data/raw/custom_videos/squat_correct/squat_correct_009.mp4,squat_correct,holdout_test,custom_squat_videos,real,squat_correct,,,False,144.48790209790212,22.724234155993667,77.8,179.29,101.49,147.41,130.065,161.17000000000002,139.7830769230769,22.995385588519976,56.9,178.87,121.97,145.83,125.39,154.84,134.19944055944055,23.360199544608978,89.17,179.51,90.33999999999999,136.45,112.635,152.235,128.0325174825175,30.094530424887004,71.93,179.06,107.13,135.21,98.82,153.03,23.015524475524476,8.314798054250469,7.66,47.1,39.44,22.27,16.22,26.770000000000003,16.891258741258742,17.626783216783217,56.9,47.1,123.1
data/raw/custom_videos/squat_correct/squat_correct_010.mp4,squat_correct,development_unassigned,custom_squat_videos,real,squat_correct,,,False,140.66728015075375,46.19459812365443,19.54,180.0,160.46,165.765,112.4925,175.2325,152.53555276381908,33.89263553174077,1.4,180.0,178.6,171.51,138.57,175.8525,140.18623743718592,38.843861807265185,25.36,179.94,154.57999999999998,158.53,117.235,171.14749999999998,151.17034547738695,27.43474694192713,6.06,179.98,173.92,163.755,135.85250000000002,169.5225,12.482242462311556,16.96604590060729,0.01,83.36,83.35,6.05,2.85,14.7375,16.169277638190955,15.872010050251257,1.4,83.36,178.6
